label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
5	908 N	0.6205	HUMAN COMPUTER INTERACTION	BIOTECHNOLOGY	779	0.9405	666	0.6983	andrew	0.8229	0.4855	235	0.8494
2	250 N	0.638	Statistics	Bioinformatics	216	0.4684	369	0.364	Michael	0.0561	0.5763	948	0.2661
3	69 N	-0.043	Bioengineering	Statistics	560	0.2707	865	0.1724	Fabrice	1.1116	0.5456	326	0.2838
1	733 N	0.9441	Computational Media	Robotics Engineering, Electrical Engineering	408	0.4912	230	0.6314	Eriq	0.5697	0.4427	740	0.9536
4	152 N	0.9193	Natural Language Processing	Statistics	878	0.1301	415	0.1871	Tony	0.2189	0.2562	675	0.0621
2	478 N	0.6826	Computational Media	Computer Engineering	679	0.7668	302	0.4172	Michael	0.4449	0.5118	857	0.5177
4	107 N	0.9339	Natural Language Processing	Statistics	984	0.3643	414	0.3248	Lise	0.1352	0.3314	743	-0.0372
3	193 N	0.0592	Bioengineering	Statistics	640	0.1877	1141	-0.0156	Sam	0.8592	0.8545	427	0.6682
3	-388 N	-0.0026	Statistics	Computational Media, Bioengineering	368	0.0022	715	0.2203	Sam	0.7741	0.7398	354	0.2447
0	787 N	0.4622	Electrical Engineering	Computer Science, Human Computer Interaction	-138	0.574	686	0.4798	Reilly	0.3871	0.8512	171	0.0663
3	-57 N	-0.0309	Bioengineering	Applied Mathematics	210	0.268	780	-0.1354	Sam	1.0716	0.8036	284	0.6998
3	-72 N	0.1175	Bioengineering	Human Computer Interaction	351	0.2104	946	0.0549	Sam	1.0394	0.766	441	0.4584
1	749 N	0.7616	Computer Science	Natural Language Processing	447	0.5595	-34	0.446	Eriq	0.4411	0.2772	789	0.936
5	1211 N	0.3924	Robotics Engineering	Bioengineering, Computational Media	846	1.1997	816	0.8091	Andrew	0.5489	0.6931	449	0.7625
4	41 N	1.0608	Natural Language Processing	Technology and Information Management	1035	0.061	493	0.1736	Tony	0.3029	-0.1029	714	-0.0614
2	412 N	0.5291	Computer Engineering	n/a	605	1.0445	389	0.375	Michael	0.3601	0.575	873	0.2025
3	-24 N	-0.1546	Bioengineering	Bioengineering	490	0.1072	None	0.0367	Sam	0.9069	0.6267	565	0.725
5	828 N	0.5541	Human Computer Interaction	Data Science	734	0.7915	785	0.9438	Fabrice	0.6144	0.5555	374	0.8519
4	81 N	1.0656	Bioinformatics	Computational Media	743	0.4867	478	0.2889	Vani	-0.0787	-0.0176	660	-0.1021
4	342 N	1.0699	Natural Language Processing	Statistics	884	0.3082	439	0.1738	Lise	-0.0151	0.1438	608	0.025
5	903 N	0.6464	Biotechnology	Data Science	859	1.1386	538	0.8944	Fabrice	0.6385	0.5815	335	0.419
1	473 N	0.7348	Games and Playable Media	Robotics Engineering, Natural Language Processing	595	0.4674	111	0.791	Inan	0.7826	-0.0577	558	1.0902
3	62 N	0.0232	Computer Game Design	Computational Media, Bioengineering	564	0.0745	916	-0.2238	Sam	0.9523	0.8618		0.4726
3	34 N	0.1842	Computer Game Design	Games and Playable Media, Bioengineering	490	0.3812	1017	0.03	Sam	0.8551	0.2061	147	0.4277
